Date, Close, Volume, Open, High, Low
03/16/2020, 239.85, 297240000, 241.18, 256.9, 237.36
03/13/2020, 269.32, 329566100, 263.09, 271.4754, 248.5237
03/12/2020, 248.11, 392220700, 256, 266.66, 247.68
03/11/2020, 274.36, 256416600, 280.7, 281.94, 270.88
03/10/2020, 288.42, 276444100, 284.64, 288.52, 273.5
03/09/2020, 274.23, 309417300, 275.3, 284.19, 273.45
03/06/2020, 297.46, 228667200, 293.15, 298.78, 290.23
03/05/2020, 302.46, 186366800, 304.98, 308.47, 300.01
03/04/2020, 312.86, 176613400, 306.12, 313.1, 303.33
03/03/2020, 300.24, 300139100, 309.5, 313.84, 297.57
03/02/2020, 309.09, 238703600, 298.21, 309.16, 294.46
02/28/2020, 296.26, 385764000, 288.7, 297.892, 285.54
02/27/2020, 297.51, 284353500, 305.46, 311.5637, 297.51
02/26/2020, 311.5, 194773800, 314.18, 318.11, 310.7
02/25/2020, 312.65, 218913200, 323.94, 324.61, 311.69
02/24/2020, 322.42, 161088400, 323.14, 333.5623, 321.24
02/21/2020, 333.48, 113788200, 335.47, 335.81, 332.58
02/20/2020, 336.95, 74163360, 337.7423, 338.64, 333.6817
02/19/2020, 338.34, 48814690, 337.79, 339.08, 337.48
02/18/2020, 336.73, 57342530, 336.51, 337.6677, 335.21
02/14/2020, 337.6, 64582210, 337.51, 337.73, 336.2
02/13/2020, 337.06, 54501920, 335.862, 338.12, 335.56
02/12/2020, 337.42, 43992660, 336.83, 337.65, 336.43
02/11/2020, 335.26, 54864530, 336.16, 337.02, 334.684
02/10/2020, 334.68, 42070010, 331.23, 334.75, 331.19
02/07/2020, 332.2, 64139440, 332.82, 333.9941, 331.6
02/06/2020, 333.98, 50359690, 333.91, 334.19, 332.8
02/05/2020, 332.86, 65951150, 332.27, 333.09, 330.67
02/04/2020, 329.06, 62573190, 328.07, 330.01, 327.72
02/03/2020, 324.12, 69242290, 323.35, 326.16, 323.22
01/31/2020, 321.73, 113845600, 327, 327.17, 320.73
01/30/2020, 327.68, 75491840, 324.36, 327.91, 323.54
01/29/2020, 326.62, 54040890, 328.38, 328.63, 326.4
01/28/2020, 326.89, 63833950, 325.06, 327.85, 323.6038
01/27/2020, 323.5, 84062460, 323.03, 325.12, 322.66
01/24/2020, 328.77, 87578440, 332.44, 332.53, 327.36
01/23/2020, 331.72, 51962990, 330.63, 332.1682, 329.41
01/22/2020, 331.34, 48914900, 332.24, 332.95, 331.17
01/21/2020, 331.3, 77742420, 330.9, 332.18, 330.82
01/17/2020, 331.95, 95846020, 331.7, 332.18, 330.8539
01/16/2020, 330.92, 54050330, 329.7, 330.92, 329.45
01/15/2020, 328.19, 72056600, 327.35, 329.02, 327.26
01/14/2020, 327.45, 63036380, 327.47, 328.62, 326.844
01/13/2020, 327.95, 47262010, 326.39, 327.96, 325.92
01/10/2020, 325.71, 53057390, 327.29, 327.46, 325.2
01/09/2020, 326.65, 48569600, 326.16, 326.73, 325.52
01/08/2020, 324.45, 68434150, 322.94, 325.78, 322.67
01/07/2020, 322.73, 42854810, 323.02, 323.54, 322.24
01/06/2020, 323.64, 55761950, 320.49, 323.73, 320.36
01/03/2020, 322.41, 77783120, 321.16, 323.64, 321.1
01/02/2020, 324.87, 59253830, 323.54, 324.89, 322.53
12/31/2019, 321.86, 57107000, 320.53, 322.13, 320.15
12/30/2019, 321.08, 49782730, 322.95, 323.1, 320.55
12/27/2019, 322.86, 42554820, 323.74, 323.8, 322.28
12/26/2019, 322.94, 31024190, 321.65, 322.95, 321.64
12/24/2019, 321.23, 20270010, 321.47, 321.52, 320.9
12/23/2019, 321.22, 53015640, 321.59, 321.65, 321.06
12/20/2019, 320.73, 149338200, 320.46, 321.9742, 319.3873
12/19/2019, 320.9, 85388420, 319.8, 320.98, 319.5246
12/18/2019, 319.59, 48199960, 320, 320.25, 319.53
12/17/2019, 319.57, 61131770, 319.92, 320.25, 319.48
12/16/2019, 319.5, 82836130, 319.22, 320.15, 317.2542
12/13/2019, 317.32, 81546490, 316.87, 318.67, 316.02
12/12/2019, 317.13, 96585800, 314.43, 317.99, 314.17
12/11/2019, 314.42, 53521450, 314.03, 314.7, 313.4393
12/10/2019, 313.53, 53107130, 313.82, 314.55, 312.81
12/09/2019, 313.88, 34904320, 314.44, 315.18, 313.8
12/06/2019, 314.87, 48956770, 314.12, 315.31, 314.11
12/05/2019, 312.02, 40781670, 312.23, 312.25, 310.58
12/04/2019, 311.46, 49190400, 310.7, 312.12, 310.32
12/03/2019, 309.55, 75172710, 308.65, 309.64, 307.13
12/02/2019, 311.64, 76110030, 314.59, 314.66, 311.17
11/29/2019, 314.31, 36592740, 314.86, 315.13, 314.06
11/27/2019, 315.48, 44793180, 314.61, 315.48, 314.37
11/26/2019, 314.08, 37727950, 313.41, 314.28, 313.06
