date,value
2020-04-23,23543.089844
2020-04-24,23628.240234
2020-04-27,23866.150391
2020-04-28,24357.169922
2020-04-29,24490.369141
2020-04-30,24585.570313
2020-05-01,24120.779297
2020-05-04,23581.550781
2020-05-05,23958.880859
2020-05-06,23978.880859
2020-05-07,23837.210938
2020-05-08,24107.820313
2020-05-11,24256.449219
2020-05-12,24292.839844
2020-05-13,23702.160156
2020-05-14,23049.060547
2020-05-15,23454.830078
2020-05-18,24059.980469
2020-05-19,24577.480469
2020-05-20,24455.939453
2020-05-21,24564.269531
2020-05-22,24461.980469
2020-05-26,24781.839844
2020-05-27,25298.630859
2020-05-28,25697.359375
2020-05-29,25324.150391
2020-06-01,25342.990234
2020-06-02,25582.519531
2020-06-03,25906.880859
2020-06-04,26226.490234
2020-06-05,26836.800781
2020-06-08,27232.929688
2020-06-09,27447.369141
2020-06-10,27251.890625
2020-06-11,26282.509766
2020-06-12,25659.419922
2020-06-15,25270.390625
2020-06-16,26326.679688
