date,value
2019-06-26,134.350006
2019-06-27,134.139999
2019-06-28,134.570007
2019-07-01,136.630005
2019-07-02,136.119995
2019-07-03,136.800003
2019-07-05,135.940002
2019-07-08,136.399994
2019-07-09,136.000000
2019-07-10,137.130005
2019-07-11,138.199997
2019-07-12,138.850006
2019-07-15,139.440002
2019-07-16,138.960007
2019-07-17,137.699997
2019-07-18,135.550003
2019-07-19,140.220001
2019-07-22,137.410004
2019-07-23,139.759995
2019-07-24,138.899994
2019-07-25,140.429993
2019-07-26,140.369995
2019-07-29,141.500000
2019-07-30,140.139999
2019-07-31,140.330002
2019-08-01,137.000000
2019-08-02,138.089996
2019-08-05,133.300003
2019-08-06,133.800003
2019-08-07,133.789993
2019-08-08,136.600006
2019-08-09,138.610001
2019-08-12,137.070007
2019-08-13,136.050003
2019-08-14,136.360001
2019-08-15,134.389999
2019-08-16,134.880005
2019-08-19,137.850006
2019-08-20,138.210007
2019-08-21,138.550003
2019-08-22,138.660004
2019-08-23,137.190002
2019-08-26,134.990005
2019-08-27,136.389999
2019-08-28,134.880005
2019-08-29,137.250000
2019-08-30,139.149994
2019-09-03,136.610001
2019-09-04,137.300003
2019-09-05,139.110001
2019-09-06,140.029999
2019-09-09,139.589996
2019-09-10,136.800003
2019-09-11,135.910004
2019-09-12,137.850006
2019-09-13,137.779999
2019-09-16,135.830002
2019-09-17,136.960007
2019-09-18,137.360001
2019-09-19,140.300003
2019-09-20,141.009995
2019-09-23,139.229996
2019-09-24,140.360001
2019-09-25,137.500000
2019-09-26,139.440002
2019-09-27,140.149994
2019-09-30,138.050003
2019-10-01,139.660004
2019-10-02,136.250000
2019-10-03,134.949997
2019-10-04,136.750000
2019-10-07,137.139999
2019-10-08,137.080002
2019-10-09,137.460007
2019-10-10,138.490005
2019-10-11,140.119995
2019-10-14,139.690002
2019-10-15,140.059998
2019-10-16,140.789993
2019-10-17,140.949997
2019-10-18,139.759995
2019-10-21,138.449997
2019-10-22,138.970001
2019-10-23,136.880005
2019-10-24,139.389999
2019-10-25,139.339996
2019-10-28,144.399994
2019-10-29,144.080002
2019-10-30,143.520004
2019-10-31,144.899994
2019-11-01,144.259995
2019-11-04,144.830002
2019-11-05,144.970001
2019-11-06,144.369995
2019-11-07,143.839996
2019-11-08,143.979996
2019-11-11,145.339996
2019-11-12,146.279999
2019-11-13,146.740005
2019-11-14,147.020004
2019-11-15,148.929993
2019-11-18,150.070007
2019-11-19,150.880005
2019-11-20,150.309998
2019-11-21,149.399994
2019-11-22,150.070007
2019-11-25,150.000000
2019-11-26,151.360001
2019-11-27,152.330002
2019-11-29,152.100006
2019-12-02,151.809998
2019-12-03,147.490005
2019-12-04,150.139999
2019-12-05,150.050003
2019-12-06,150.990005
2019-12-09,151.070007
2019-12-10,151.289993
2019-12-11,151.539993
2019-12-12,151.649994
2019-12-13,153.000000
2019-12-16,155.110001
2019-12-17,155.449997
2019-12-18,154.300003
