date,value
5-12/20/0-,939.500000
5-13/20/0-,865.860107
5-14/20/0-,794.540039
5-15/20/0-,829.949951
5-18/20/0-,913.860107
5-19/20/0-,948.590088
5-20/20/0-,953.629883
5-21/20/0-,969.949951
5-22/20/0-,948.050049
5-26/20/0-,004.080078
5-27/20/0-,015.649902
5-28/20/0-,046.610107
5-29/20/0-,025.169922
6-01/20/0-,038.780029
6-02/20/0-,064.780029
6-03/20/0-,098.899902
6-04/20/0-,111.560059
6-05/20/0-,163.840088
6-08/20/0-,199.919922
6-09/20/0-,213.320068
6-10/20/0-,213.419922
6-11/20/0-,123.530029
6-12/20/0-,071.040039
6-15/20/0-,993.760010
6-16/20/0-,131.000000
